department,language,courseType,courseNumber,title,course_url,schedule,recommendedPrerequisites,notApplicableWith
01,English,BSc,02158,,https://kurser.dtu.dk/course/2024-2025/02158,['Autumn E1B (Thurs 13-17)'],,
01,English,BSc,02159,,https://kurser.dtu.dk/course/02159,['Autumn E2B (Thurs 8-12)'],"02100, 02101, 02102, 02105, 02132",62588
01,English,BSc,02159,,https://kurser.dtu.dk/course/2024-2025/02159,['Autumn E2B (Thurs 8-12)'],,62588
01,English,BSc,02160,,https://kurser.dtu.dk/course/02160,['Spring F5 (Wed 8-17)'],"02002, 02003, 02631","02161, 02100, 02101, 02102, 02312, 02314"
01,English,BSc,02160,,https://kurser.dtu.dk/course/2024-2025/02160,['Spring F5 (Wed 8-17)'],,"02161, 02100, 02101, 02102, 02312, 02314"
01,English,BSc,02170,,https://kurser.dtu.dk/course/02170,['Spring F2B (Thurs 8-12)'],"01017, 01019, 02105, 02110",02327
01,English,BSc,02170,,https://kurser.dtu.dk/course/2024-2025/02170,['Spring F2B (Thurs 8-12)'],,02327
01,English,BSc,02413,,https://kurser.dtu.dk/course/02413,['Autumn E1B (Thurs 13-17)'],02402,
01,English,BSc,02413,,https://kurser.dtu.dk/course/2024-2025/02413,['Autumn E1B (Thurs 13-17)'],,
01,English,BSc,02418,,https://kurser.dtu.dk/course/02418,['Autumn E4A (Tues 13-17)'],"02402, 02403",
01,English,BSc,02418,,https://kurser.dtu.dk/course/2024-2025/02418,['Autumn E4A (Tues 13-17)'],,
01,English,BSc,02445,,https://kurser.dtu.dk/course/02445,"['June', 'January']","02402, 02403, 02450",02441
01,English,BSc,02445,,https://kurser.dtu.dk/course/2024-2025/02445,['June'],,02441
01,English,BSc,02450,,https://kurser.dtu.dk/course/02450,"['Spring F4A (Tues 13-17)', 'Autumn E4A (Tues 13-17)']","01001, 01002, 01003, 01004, 01005, 02402, 02403, 02002, 02101, 02102, 02525, 02631, 02632, 02633, 02692",
01,English,BSc,02450,,https://kurser.dtu.dk/course/2024-2025/02450,"['Spring F4A (Tues 13-17)', 'Autumn E4A (Tues 13-17)']",,
01,English,BSc,02462,,https://kurser.dtu.dk/course/02462,['Autumn'],,
01,English,BSc,02462,,https://kurser.dtu.dk/course/2024-2025/02462,['Autumn'],,
01,English,BSc,02464,,https://kurser.dtu.dk/course/02464,['Autumn E3A (Tues 8-12)'],"01001, 01002, 01003, 01004, 01005, 02002, 02631, 02461, 02462, 02450",02454
01,English,BSc,02464,,https://kurser.dtu.dk/course/2024-2025/02464,['Autumn E3A (Tues 8-12)'],,02454
